l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801970.SI,801972.SI,环保设备Ⅱ,000967.SZ,盈峰环境,20000328,,Y
801970.SI,801972.SI,环保设备Ⅱ,300203.SZ,聚光科技,20220729,,Y
801970.SI,801972.SI,环保设备Ⅱ,600526.SH,菲达环保,20020722,,Y
801970.SI,801972.SI,环保设备Ⅱ,688376.SH,美埃科技,20221104,,Y
801970.SI,801972.SI,环保设备Ⅱ,001336.SZ,楚环科技,20220708,,Y
801970.SI,801972.SI,环保设备Ⅱ,603282.SH,亚光股份,20230224,,Y
801970.SI,801972.SI,环保设备Ⅱ,000551.SZ,创元科技,20150701,,Y
801970.SI,801972.SI,环保设备Ⅱ,002658.SZ,雪迪龙,20151012,,Y
801970.SI,801972.SI,环保设备Ⅱ,300631.SZ,久吾高科,20170310,,Y
801970.SI,801972.SI,环保设备Ⅱ,300800.SZ,力合科技,20191028,,Y
801970.SI,801972.SI,环保设备Ⅱ,300786.SZ,国林科技,20190718,,Y
801970.SI,801972.SI,环保设备Ⅱ,688309.SH,恒誉环保,20200629,,Y
801970.SI,801972.SI,环保设备Ⅱ,301288.SZ,*ST清研,20220401,,Y
801970.SI,801972.SI,环保设备Ⅱ,301030.SZ,仕净科技,20210705,,Y
801970.SI,801972.SI,环保设备Ⅱ,688501.SH,青达环保,20210705,,Y
801970.SI,801972.SI,环保设备Ⅱ,920145.BJ,恒合股份,20211115,,Y
801970.SI,801972.SI,环保设备Ⅱ,603324.SH,盛剑科技,20210407,,Y
801970.SI,801972.SI,环保设备Ⅱ,000890.SZ,法尔胜,20220729,,Y
801970.SI,801972.SI,环保设备Ⅱ,300137.SZ,先河环保,20150701,,Y
801970.SI,801972.SI,环保设备Ⅱ,301081.SZ,严牌股份,20211015,,Y
801970.SI,801972.SI,环保设备Ⅱ,600388.SH,龙净环保,20220729,,Y
801970.SI,801972.SI,环保设备Ⅱ,300105.SZ,龙源技术,20250509,,Y
801970.SI,801972.SI,环保设备Ⅱ,600817.SH,宇通重工,20220729,,Y
801970.SI,801972.SI,环保设备Ⅱ,300210.SZ,森远股份,20210730,,Y
801970.SI,801972.SI,环保设备Ⅱ,000730.SZ,*ST环保(退市),19970522,,Y
801970.SI,801972.SI,环保设备Ⅱ,688671.SH,碧兴物联,20230731,,Y
801970.SI,801972.SI,环保设备Ⅱ,002645.SZ,华宏科技,20210730,,Y
801970.SI,801972.SI,环保设备Ⅱ,000820.SZ,*ST节能,20240730,,Y
801970.SI,801972.SI,环保设备Ⅱ,603126.SH,中材节能,20240730,,Y
