l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801120.SI,801129.SI,调味发酵品Ⅱ,600872.SH,中炬高新,19950124,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,600305.SH,恒顺醋业,20010206,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,600186.SH,莲花控股,19980825,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,002495.SZ,佳隆股份,20101020,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,002650.SZ,ST加加,20110126,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,603027.SH,千禾味业,20160304,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,603288.SH,海天味业,20140122,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,603317.SH,天味食品,20190404,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,603755.SH,日辰股份,20190819,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,300908.SZ,仲景食品,20201110,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,920726.BJ,朱老六,20210527,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,603696.SH,安记食品,20151209,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,002507.SZ,涪陵榨菜,20210730,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,600298.SH,安琪酵母,20210730,,Y
801120.SI,801129.SI,调味发酵品Ⅱ,603170.SH,宝立食品,20220701,,Y
