l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801760.SI,801765.SI,广告营销,600986.SH,浙文互联,20040421,,Y
801760.SI,801765.SI,广告营销,002027.SZ,分众传媒,20040803,,Y
801760.SI,801765.SI,广告营销,002143.SZ,印纪退(退市),20070718,,Y
801760.SI,801765.SI,广告营销,301102.SZ,兆讯传媒,20220304,,Y
801760.SI,801765.SI,广告营销,002400.SZ,省广集团,20100426,,Y
801760.SI,801765.SI,广告营销,300071.SZ,福石控股,20100412,,Y
801760.SI,801765.SI,广告营销,300242.SZ,佳云科技,20110704,,Y
801760.SI,801765.SI,广告营销,300061.SZ,旗天科技,20100310,,Y
801760.SI,801765.SI,广告营销,300058.SZ,蓝色光标,20100203,,Y
801760.SI,801765.SI,广告营销,300336.SZ,新文退(退市),20120628,,Y
801760.SI,801765.SI,广告营销,002712.SZ,思美传媒,20140108,,Y
801760.SI,801765.SI,广告营销,000607.SZ,华媒控股,20180619,,Y
801760.SI,801765.SI,广告营销,603729.SH,龙韵股份,20150109,,Y
801760.SI,801765.SI,广告营销,000676.SZ,智度股份,20170629,,Y
801760.SI,801765.SI,广告营销,300392.SZ,腾信退(退市),20140110,,Y
801760.SI,801765.SI,广告营销,603825.SH,ST华扬,20170726,,Y
801760.SI,801765.SI,广告营销,300612.SZ,宣亚国际,20170208,,Y
801760.SI,801765.SI,广告营销,300781.SZ,因赛集团,20190529,,Y
801760.SI,801765.SI,广告营销,605168.SH,三人行,20200427,,Y
801760.SI,801765.SI,广告营销,002995.SZ,天地在线,20200722,,Y
801760.SI,801765.SI,广告营销,300805.SZ,电声股份,20191111,,Y
801760.SI,801765.SI,广告营销,002264.SZ,新华都,20231208,,Y
801760.SI,801765.SI,广告营销,002878.SZ,元隆雅图,20220729,,Y
801760.SI,801765.SI,广告营销,301171.SZ,易点天下,20220805,,Y
801760.SI,801765.SI,广告营销,603598.SH,引力传媒,20150126,,Y
801760.SI,801765.SI,广告营销,300063.SZ,天龙集团,20180619,,Y
801760.SI,801765.SI,广告营销,300280.SZ,紫天退(退市),20190724,,Y
801760.SI,801765.SI,广告营销,600242.SH,退市中昌(退市),20170629,,Y
801760.SI,801765.SI,广告营销,600556.SH,天下秀,20200907,,Y
801760.SI,801765.SI,广告营销,603602.SH,纵横通信,20260305,,Y
801760.SI,801765.SI,广告营销,002354.SZ,天娱数科,20230704,,Y
801760.SI,801765.SI,广告营销,600358.SH,国旅联合,20210730,,Y
801760.SI,801765.SI,广告营销,002291.SZ,遥望科技,20210730,,Y
801760.SI,801765.SI,广告营销,300038.SZ,数知退(退市),20091228,,Y
