l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801780.SI,801784.SI,城商行Ⅱ,002142.SZ,宁波银行,20070718,,Y
801780.SI,801784.SI,城商行Ⅱ,601009.SH,南京银行,20070718,,Y
801780.SI,801784.SI,城商行Ⅱ,601169.SH,北京银行,20070918,,Y
801780.SI,801784.SI,城商行Ⅱ,601838.SH,成都银行,20171220,,Y
801780.SI,801784.SI,城商行Ⅱ,601997.SH,贵阳银行,20160804,,Y
801780.SI,801784.SI,城商行Ⅱ,600919.SH,江苏银行,20160623,,Y
801780.SI,801784.SI,城商行Ⅱ,600926.SH,杭州银行,20161012,,Y
801780.SI,801784.SI,城商行Ⅱ,601229.SH,上海银行,20161012,,Y
801780.SI,801784.SI,城商行Ⅱ,600928.SH,西安银行,20190118,,Y
801780.SI,801784.SI,城商行Ⅱ,002966.SZ,苏州银行,20190618,,Y
801780.SI,801784.SI,城商行Ⅱ,601577.SH,长沙银行,20180831,,Y
801780.SI,801784.SI,城商行Ⅱ,002936.SZ,郑州银行,20180831,,Y
801780.SI,801784.SI,城商行Ⅱ,002948.SZ,青岛银行,20181211,,Y
801780.SI,801784.SI,城商行Ⅱ,601187.SH,厦门银行,20200914,,Y
801780.SI,801784.SI,城商行Ⅱ,601665.SH,齐鲁银行,20210512,,Y
801780.SI,801784.SI,城商行Ⅱ,001227.SZ,兰州银行,20211210,,Y
801780.SI,801784.SI,城商行Ⅱ,601963.SH,重庆银行,20210104,,Y
