l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801890.SI,801076.SI,轨交设备Ⅱ,600528.SH,中铁工业,20010528,,Y
801890.SI,801076.SI,轨交设备Ⅱ,600495.SH,晋西车轴,20040525,,Y
801890.SI,801076.SI,轨交设备Ⅱ,601766.SH,中国中车,20080728,,Y
801890.SI,801076.SI,轨交设备Ⅱ,601299.SH,中国北车(退市),20091210,,Y
801890.SI,801076.SI,轨交设备Ⅱ,300011.SZ,鼎汉技术,20091012,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688459.SH,哈铁科技,20220916,,Y
801890.SI,801076.SI,轨交设备Ⅱ,920541.BJ,铁大科技,20230224,,Y
801890.SI,801076.SI,轨交设备Ⅱ,300351.SZ,永贵电器,20120912,,Y
801890.SI,801076.SI,轨交设备Ⅱ,000008.SZ,神州高铁,20150701,,Y
801890.SI,801076.SI,轨交设备Ⅱ,000927.SZ,中国铁物,20220325,,Y
801890.SI,801076.SI,轨交设备Ⅱ,000925.SZ,众合科技,20111230,,Y
801890.SI,801076.SI,轨交设备Ⅱ,603680.SH,今创集团,20170504,,Y
801890.SI,801076.SI,轨交设备Ⅱ,000976.SZ,*ST华铁(退市),20170629,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688015.SH,交控科技,20190711,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688033.SH,天宜新材,20190711,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688009.SH,中国通号,20190708,,Y
801890.SI,801076.SI,轨交设备Ⅱ,002972.SZ,科安达,20191212,,Y
801890.SI,801076.SI,轨交设备Ⅱ,300594.SZ,朗进科技,20190606,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688569.SH,铁科轨道,20200814,,Y
801890.SI,801076.SI,轨交设备Ⅱ,300851.SZ,交大思诺,20200629,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688367.SH,工大高科,20210609,,Y
801890.SI,801076.SI,轨交设备Ⅱ,605298.SH,必得科技,20210205,,Y
801890.SI,801076.SI,轨交设备Ⅱ,300960.SZ,通业科技,20210329,,Y
801890.SI,801076.SI,轨交设备Ⅱ,300923.SZ,研奥股份,20201214,,Y
801890.SI,801076.SI,轨交设备Ⅱ,603500.SH,祥和实业,20170828,,Y
801890.SI,801076.SI,轨交设备Ⅱ,001324.SZ,长青科技,20230504,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688187.SH,时代电气,20210820,,Y
801890.SI,801076.SI,轨交设备Ⅱ,301048.SZ,金鹰重工,20210813,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688285.SH,高铁电气,20211015,,Y
801890.SI,801076.SI,轨交设备Ⅱ,920027.BJ,交大铁发,20250527,,Y
801890.SI,801076.SI,轨交设备Ⅱ,603111.SH,康尼机电,20140207,,Y
801890.SI,801076.SI,轨交设备Ⅱ,301016.SZ,雷尔伟,20210615,,Y
801890.SI,801076.SI,轨交设备Ⅱ,605001.SH,威奥股份,20200506,,Y
801890.SI,801076.SI,轨交设备Ⅱ,688485.SH,九州一轨,20230106,,Y
801890.SI,801076.SI,轨交设备Ⅱ,600458.SH,时代新材,20240730,,Y
