l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801170.SI,801178.SI,物流,603066.SH,音飞储存,20220729,,Y
801170.SI,801178.SI,物流,600233.SH,圆通速递,20000424,,Y
801170.SI,801178.SI,物流,600787.SH,中储股份,19970121,,Y
801170.SI,801178.SI,物流,002120.SZ,韵达股份,20070306,,Y
801170.SI,801178.SI,物流,002492.SZ,恒基达鑫,20100120,,Y
801170.SI,801178.SI,物流,300013.SZ,新宁物流,20090112,,Y
801170.SI,801178.SI,物流,002352.SZ,顺丰控股,20170301,,Y
801170.SI,801178.SI,物流,002468.SZ,申通快递,20170703,,Y
801170.SI,801178.SI,物流,300240.SZ,飞力达,20110127,,Y
801170.SI,801178.SI,物流,001228.SZ,永泰运,20220415,,Y
801170.SI,801178.SI,物流,300350.SZ,华鹏飞,20120113,,Y
801170.SI,801178.SI,物流,603128.SH,华贸物流,20120117,,Y
801170.SI,801178.SI,物流,002769.SZ,普路通,20150618,,Y
801170.SI,801178.SI,物流,603117.SH,万林物流,20150119,,Y
801170.SI,801178.SI,物流,603569.SH,长久物流,20160803,,Y
801170.SI,801178.SI,物流,002800.SZ,天顺股份,20160525,,Y
801170.SI,801178.SI,物流,002711.SZ,欧浦退(退市),20140108,,Y
801170.SI,801178.SI,物流,000906.SZ,浙商中拓,20210615,,Y
801170.SI,801178.SI,物流,002010.SZ,传化智联,20180420,,Y
801170.SI,801178.SI,物流,603329.SH,上海雅仕,20171220,,Y
801170.SI,801178.SI,物流,603813.SH,*ST原尚,20170815,,Y
801170.SI,801178.SI,物流,603535.SH,嘉诚国际,20170726,,Y
801170.SI,801178.SI,物流,002930.SZ,宏川智慧,20180328,,Y
801170.SI,801178.SI,物流,002889.SZ,东方嘉盛,20170712,,Y
801170.SI,801178.SI,物流,603967.SH,中创物流,20190326,,Y
801170.SI,801178.SI,物流,601598.SH,中国外运,20190115,,Y
801170.SI,801178.SI,物流,300873.SZ,海晨股份,20200807,,Y
801170.SI,801178.SI,物流,603713.SH,密尔克卫,20180706,,Y
801170.SI,801178.SI,物流,603871.SH,嘉友国际,20180129,,Y
801170.SI,801178.SI,物流,601156.SH,东航物流,20210521,,Y
801170.SI,801178.SI,物流,603836.SH,海程邦达,20210512,,Y
801170.SI,801178.SI,物流,001202.SZ,炬申股份,20210415,,Y
801170.SI,801178.SI,物流,605050.SH,福然德,20200904,,Y
801170.SI,801178.SI,物流,603056.SH,德邦股份(退市),20220729,,Y
801170.SI,801178.SI,物流,603648.SH,畅联股份,20170828,,Y
801170.SI,801178.SI,物流,002682.SZ,龙洲股份,20120104,,Y
801170.SI,801178.SI,物流,600794.SH,保税科技,20070702,,Y
801170.SI,801178.SI,物流,600057.SH,厦门象屿,20020830,,Y
801170.SI,801178.SI,物流,600119.SH,长江投资,20081231,,Y
801170.SI,801178.SI,物流,600153.SH,建发股份,20111230,,Y
801170.SI,801178.SI,物流,600180.SH,瑞茂通,20121231,,Y
801170.SI,801178.SI,物流,600704.SH,物产中大,20190724,,Y
801170.SI,801178.SI,物流,001220.SZ,世盟股份,20260116,,Y
801170.SI,801178.SI,物流,600755.SH,厦门国贸,20210730,,Y
801170.SI,801178.SI,物流,002485.SZ,ST雪发,20250811,,Y
801170.SI,801178.SI,物流,600753.SH,*ST海钦,20210730,,Y
801170.SI,801178.SI,物流,000626.SZ,远大控股,20210730,,Y
801170.SI,801178.SI,物流,001391.SZ,国货航,20250103,,Y
801170.SI,801178.SI,物流,920351.BJ,华光源海,20221227,,Y
801170.SI,801178.SI,物流,600603.SH,广汇物流,20250811,,Y
