l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801160.SI,801163.SI,燃气Ⅱ,600333.SH,长春燃气,20001211,,Y
801160.SI,801163.SI,燃气Ⅱ,002259.SZ,升达林业,20080125,,Y
801160.SI,801163.SI,燃气Ⅱ,002267.SZ,陕天然气,20080122,,Y
801160.SI,801163.SI,燃气Ⅱ,600917.SH,重庆燃气,20140110,,Y
801160.SI,801163.SI,燃气Ⅱ,300332.SZ,天壕能源,20120118,,Y
801160.SI,801163.SI,燃气Ⅱ,002700.SZ,万憬能源,20120111,,Y
801160.SI,801163.SI,燃气Ⅱ,603393.SH,新天然气,20160831,,Y
801160.SI,801163.SI,燃气Ⅱ,603689.SH,皖天然气,20161219,,Y
801160.SI,801163.SI,燃气Ⅱ,002911.SZ,佛燃能源,20171108,,Y
801160.SI,801163.SI,燃气Ⅱ,603080.SH,新疆火炬,20171220,,Y
801160.SI,801163.SI,燃气Ⅱ,600681.SH,百川能源,20170526,,Y
801160.SI,801163.SI,燃气Ⅱ,000407.SZ,胜利股份,20171215,,Y
801160.SI,801163.SI,燃气Ⅱ,603053.SH,成都燃气,20191129,,Y
801160.SI,801163.SI,燃气Ⅱ,600903.SH,贵州燃气,20171030,,Y
801160.SI,801163.SI,燃气Ⅱ,000593.SZ,德龙汇能,20180619,,Y
801160.SI,801163.SI,燃气Ⅱ,603706.SH,东方环宇,20180706,,Y
801160.SI,801163.SI,燃气Ⅱ,605368.SH,蓝天燃气,20210114,,Y
801160.SI,801163.SI,燃气Ⅱ,300435.SZ,中泰股份,20200224,,Y
801160.SI,801163.SI,燃气Ⅱ,605169.SH,洪通燃气,20201016,,Y
801160.SI,801163.SI,燃气Ⅱ,920010.BJ,凯添燃气,20200727,,Y
801160.SI,801163.SI,燃气Ⅱ,605090.SH,九丰能源,20210510,,Y
801160.SI,801163.SI,燃气Ⅱ,000669.SZ,ST金鸿,20130104,,Y
801160.SI,801163.SI,燃气Ⅱ,001331.SZ,胜通能源,20220805,,Y
801160.SI,801163.SI,燃气Ⅱ,600617.SH,国新能源,20140102,,Y
801160.SI,801163.SI,燃气Ⅱ,600635.SH,大众公用,20150119,,Y
801160.SI,801163.SI,燃气Ⅱ,600803.SH,新奥股份,20200831,,Y
801160.SI,801163.SI,燃气Ⅱ,603318.SH,水发燃气,20210730,,Y
801160.SI,801163.SI,燃气Ⅱ,300483.SZ,首华燃气,20210730,,Y
801160.SI,801163.SI,燃气Ⅱ,601139.SH,深圳燃气,20090105,,Y
801160.SI,801163.SI,燃气Ⅱ,001299.SZ,美能能源,20220923,,Y
801160.SI,801163.SI,燃气Ⅱ,920014.BJ,特瑞斯,20221214,,Y
